schema_name,table_name,index_name,access_method,is_primary,is_unique,is_valid,is_ready,is_clustered,is_exclusion,is_replica_identity,ddl,predicate,expressions
pg_catalog,pg_amproc,pg_amproc_oid_index,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX pg_amproc_oid_index ON pg_catalog.pg_amproc USING btree (oid),null,null
pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX pg_attrdef_adrelid_adnum_index ON pg_catalog.pg_attrdef USING btree (adrelid, adnum)",null,null
pg_catalog,pg_attrdef,pg_attrdef_oid_index,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX pg_attrdef_oid_index ON pg_catalog.pg_attrdef USING btree (oid),null,null
pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX pg_attribute_relid_attnam_index ON pg_catalog.pg_attribute USING btree (attrelid, attname)",null,null
pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,btree,true,true,true,true,false,false,false,"CREATE UNIQUE INDEX pg_attribute_relid_attnum_index ON pg_catalog.pg_attribute USING btree (attrelid, attnum)",null,null
pg_catalog,pg_auth_members,pg_auth_members_grantor_index,btree,false,false,true,true,false,false,false,CREATE INDEX pg_auth_members_grantor_index ON pg_catalog.pg_auth_members USING btree (grantor),null,null
pg_catalog,pg_auth_members,pg_auth_members_member_role_index,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX pg_auth_members_member_role_index ON pg_catalog.pg_auth_members USING btree (member, roleid, grantor)",null,null
pg_catalog,pg_auth_members,pg_auth_members_oid_index,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX pg_auth_members_oid_index ON pg_catalog.pg_auth_members USING btree (oid),null,null
pg_catalog,pg_auth_members,pg_auth_members_role_member_index,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX pg_auth_members_role_member_index ON pg_catalog.pg_auth_members USING btree (roleid, member, grantor)",null,null
pg_catalog,pg_authid,pg_authid_oid_index,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX pg_authid_oid_index ON pg_catalog.pg_authid USING btree (oid),null,null
pg_catalog,pg_authid,pg_authid_rolname_index,btree,false,true,true,true,false,false,false,CREATE UNIQUE INDEX pg_authid_rolname_index ON pg_catalog.pg_authid USING btree (rolname),null,null
pg_catalog,pg_cast,pg_cast_oid_index,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX pg_cast_oid_index ON pg_catalog.pg_cast USING btree (oid),null,null
pg_catalog,pg_cast,pg_cast_source_target_index,btree,false,true,true,true,false,false,false,"CREATE UNIQUE INDEX pg_cast_source_target_index ON pg_catalog.pg_cast USING btree (castsource, casttarget)",null,null
pg_catalog,pg_class,pg_class_oid_index,btree,true,true,true,true,false,false,false,CREATE UNIQUE INDEX pg_class_oid_index ON pg_catalog.pg_class USING btree (oid),null,null
