schema,function,args,returns,language,kind,volatility,security_definer,leakproof,comment
public,check_balance_health,p_canonical_user_id text,jsonb,plpgsql,f,v,true,false,null
public,check_database_health,,json,plpgsql,f,v,true,false,null
public,check_external_usdc_balance,wallet_address text,numeric,plpgsql,f,s,true,false,null
public,check_first_deposit_bonus_eligibility,p_canonical_user_id text,jsonb,plpgsql,f,s,true,false,null
public,check_missing_orders_recent,,integer,sql,f,s,false,false,null
public,citext,boolean,citext,internal,f,i,false,false,null
public,citext,character,citext,internal,f,i,false,false,null
public,citext,inet,citext,internal,f,i,false,false,null
public,citext_cmp,"citext, citext",integer,c,f,i,false,false,null
public,citext_eq,"citext, citext",boolean,c,f,i,false,false,null
public,citext_ge,"citext, citext",boolean,c,f,i,false,false,null
public,citext_gt,"citext, citext",boolean,c,f,i,false,false,null
public,citext_hash,citext,integer,c,f,i,false,false,null
public,citext_hash_extended,"citext, bigint",bigint,c,f,i,false,false,null
public,citext_larger,"citext, citext",citext,c,f,i,false,false,null
public,citext_le,"citext, citext",boolean,c,f,i,false,false,null
public,citext_lt,"citext, citext",boolean,c,f,i,false,false,null
public,citext_ne,"citext, citext",boolean,c,f,i,false,false,null
public,citext_pattern_cmp,"citext, citext",integer,c,f,i,false,false,null
public,citext_pattern_ge,"citext, citext",boolean,c,f,i,false,false,null
public,citext_pattern_gt,"citext, citext",boolean,c,f,i,false,false,null
public,citext_pattern_le,"citext, citext",boolean,c,f,i,false,false,null
public,citext_pattern_lt,"citext, citext",boolean,c,f,i,false,false,null
public,citext_smaller,"citext, citext",citext,c,f,i,false,false,null
public,citextin,cstring,citext,internal,f,i,false,false,null
public,citextout,citext,cstring,internal,f,i,false,false,null
public,citextrecv,internal,citext,internal,f,s,false,false,null
public,citextsend,citext,bytea,internal,f,s,false,false,null
public,claim_prize,"p_competition_id uuid, p_user_wallet_address text",boolean,plpgsql,f,v,false,false,null
public,cleanup_expired_idempotency,,integer,plpgsql,f,v,true,false,null
public,cleanup_expired_reservations,,"TABLE(expired_count integer, protected_count integer)",sql,f,v,true,false,null
public,cleanup_expired_reservations,p_grace_period_minutes integer,"TABLE(expired_count integer, protected_count integer)",plpgsql,f,v,true,false,null
public,cleanup_old_data,,void,plpgsql,f,v,true,false,null
public,cleanup_orphaned_pending_tickets,,integer,plpgsql,f,v,true,false,null
public,cleanup_stale_transactions,,void,plpgsql,f,v,true,false,null
public,commerce_post_to_balance,,trigger,plpgsql,f,v,true,false,null
public,competitions_sync_num_winners,,trigger,plpgsql,f,v,false,false,null
public,competitions_sync_tickets_sold,,trigger,plpgsql,f,v,false,false,null
public,complete_topup_on_webhook_ref,,trigger,plpgsql,f,v,true,false,null
public,confirm_payment_and_issue_tickets,"p_order_id uuid, p_payment_tx_hash text, p_amount numeric, p_currency text","TABLE(ticket_id uuid, ticket_number integer)",plpgsql,f,v,false,false,null
public,confirm_pending_tickets_with_balance,"p_reservation_id uuid, p_canonical_user_id text","TABLE(inserted_ticket_ids uuid[], ticket_numbers integer[], total_cost numeric, new_available_balance numeric, entry_id uuid)",plpgsql,f,v,true,false,null
public,confirm_pending_to_sold,"p_reservation_id uuid, p_transaction_hash text, p_payment_provider text, p_wallet_address text",jsonb,plpgsql,f,v,true,false,null
